year,trait,coniferous,deciduous,lake,rock ,wetland,basin average
2004,density (kg/m3),167.2006891,139.6899225,228.6821705,156.8276685,138.1770423,172.1690114
2005,density (kg/m3),236.9187373,200.1331253,292.0307473,250.4281352,195.8185644,247.9937003
2006,density (kg/m3),9999,9999,9999,9999,9999,9999
2007,density (kg/m3),220.1186186,222.3122752,256.8689587,241.7832838,227.4525249,238.2934521
2008,density (kg/m3),247.5401156,231.8871547,0,270.6449727,241.9734837,199.7416414
2009,density (kg/m3),206.8383073,148.3214161,252.132694,250.5930554,184.2679837,230.5484635
2010,density (kg/m3),228.0381669,257.1809608,323.8459146,287.64877,254.1123218,277.917974
2011,density (kg/m3),194.1183838,172.5938546,196.1378778,168.8355477,161.6815205,179.1767183
2012,density (kg/m3),157.4167651,176.0395178,229.1856091,189.626897,116.5911783,180.1794949
2013,density (kg/m3),152.4412679,149.2428989,240.5924357,201.8278173,178.5726654,196.2651776
2014,density (kg/m3),192.6101828,200.9711331,262.1878769,203.2409128,196.6037993,213.3241121
2015,density (kg/m3),198.1123111,167.9626339,435.7638889,251.4044456,140.034599,263.7385653
2016,density (kg/m3),170.4875079,142.2839905,185.0828446,166.7067479,134.5307038,166.3638119
2004,depth (cm),49.28571429,45.25,34.42857143,40.65217391,50.25,42.60372283
2005,depth (cm),51.76666667,56.81666667,28.96666667,45.23333333,55.38333333,44.615465
2006,depth (cm),9999,9999,9999,9999,9999,9999
2007,depth (cm),45.22698413,41.9,19.45945946,38.75675676,41.43243243,36.18577946
2008,depth (cm),41.33462963,37.56,0,36.86,31.98166667,28.67702937
2009,depth (cm),59.225,59.6,30.725,53.2625,61.675,50.791145
2010,depth (cm),39.7,38.975,16.625,28.7125,35.4375,29.4095525
2011,depth (cm),38.49,34.68,22.672,30.43,43.89,32.5262068
2012,depth (cm),55.37,55.8,32.05,47.5675,60.29166667,47.76788533
2013,depth (cm),39.65625,42.02,29.7,37.21,52.04,38.41879875
2014,depth (cm),45.62,47.94,32.49,42.9,58.98,43.710418
2015,depth (cm),31.9,28.8,22.2,25.92,39.04,28.433332
2016,depth (cm),41.99,37.32,25.86,36.74,52.16,37.830606
2004,swe (mm),82.35341454,63.21149871,77.21207087,63.78107905,69.51850538,71.59669144
2005,swe (mm),122.644933,113.47744,84.26943333,113.4805361,108.3638308,107.9682495
2006,swe (mm),9999,9999,9999,9999,9999,9999
2007,swe (mm),98.80806932,93,49.97598783,94.41293674,96.17412494,85.54494549
2008,swe (mm),104.9055408,86.04727487,0,96.82627295,76.65581066,73.30137916
2009,swe (mm),122.4567791,85.23624433,78.26246598,130.7841248,113.9604686,114.155942
2010,swe (mm),87.7245295,99.68267868,54.20184026,80.9714633,89.20553987,77.77340405
2011,swe (mm),74.36326752,58.76847059,44.56660283,52.00434459,69.81680734,57.85829949
2012,swe (mm),86.90066744,95.69582399,73.81856378,90.71997308,60.65896008,81.36051991
2013,swe (mm),60.03858343,62.87092001,71.05914791,75.66210225,92.91480322,74.03168851
2014,swe (mm),85.88681227,97.52356483,79.02061756,87.64806777,119.5672858,90.49319469
2015,swe (mm),61.75,48,86.59337798,67,54.15706982,68.16459629
2016,swe (mm),70.71457451,53.05433312,41.17955557,61.10609943,69.86433245,59.93140408
