           YEAR,            DAY,        QOMEAS1,         QOSIM1,
           2006,            258,  0.9000000E-02,  0.2079263    ,
           2006,            259, -0.8000000E-02,  0.7052476    ,
           2006,            260, -0.8000000E-02,  0.9580836    ,
           2006,            261, -0.8000000E-02,   1.019996    ,
           2006,            262, -0.8000000E-02,   1.014262    ,
           2006,            263, -0.8000000E-02,  0.9845306    ,
           2006,            264, -0.7000000E-02,  0.9473100    ,
           2006,            265, -0.7000000E-02,  0.9102213    ,
           2006,            266, -0.8000000E-02,  0.8755406    ,
           2006,            267, -0.8000000E-02,  0.8440693    ,
           2006,            268, -0.7000000E-02,  0.8158414    ,
           2006,            269, -0.7000000E-02,  0.7905262    ,
           2006,            270, -0.7000000E-02,  0.7676790    ,
           2006,            271, -0.7000000E-02,  0.7473971    ,
           2006,            272, -0.7000000E-02,  0.8626789    ,
           2006,            273, -0.7000000E-02,   1.141100    ,
           2006,            274, -0.8000000E-02,   1.145157    ,
           2006,            275, -0.7000000E-02,   1.057427    ,
           2006,            276, -0.7000000E-02,  0.9629307    ,
           2006,            277, -0.7000000E-02,  0.8808457    ,
           2006,            278, -0.7000000E-02,  0.8144152    ,
           2006,            279, -0.7000000E-02,  0.7647734    ,
           2006,            280, -0.7000000E-02,  0.7250519    ,
           2006,            281, -0.6000000E-02,  0.6946085    ,
           2006,            282, -0.6000000E-02,  0.6693023    ,
           2006,            283, -0.6000000E-02,  0.6481904    ,
           2006,            284, -0.6000000E-02,  0.6302693    ,
           2006,            285, -0.6000000E-02,  0.6148443    ,
           2006,            286, -0.6000000E-02,  0.6013859    ,
           2006,            287, -0.5000000E-02,  0.5896437    ,
           2006,            288, -0.5000000E-02,  0.5788115    ,
           2006,            289, -0.5000000E-02,  0.5689897    ,
           2006,            290, -0.5000000E-02,  0.5598097    ,
           2006,            291, -0.5000000E-02,  0.5519111    ,
           2006,            292, -0.5000000E-02,  0.5438830    ,
           2006,            293, -0.5000000E-02,  0.5359921    ,
           2006,            294, -0.5000000E-02,  0.5284114    ,
           2006,            295, -0.5000000E-02,  0.5211584    ,
           2006,            296, -0.5000000E-02,  0.5142311    ,
           2006,            297, -0.5000000E-02,  0.5076013    ,
           2006,            298, -0.6000000E-02,  0.5012827    ,
           2006,            299, -0.6000000E-02,  0.4942824    ,
           2006,            300, -0.6000000E-02,  0.4845658    ,
           2006,            301, -0.6000000E-02,  0.4720908    ,
           2006,            302, -0.6000000E-02,  0.4576451    ,
           2006,            303, -0.6000000E-02,  0.4420325    ,
           2006,            304, -0.6000000E-02,  0.4259841    ,
           2006,            305, -0.6000000E-02,  0.4100494    ,
           2006,            306, -0.6000000E-02,  0.3945298    ,
           2006,            307, -0.6000000E-02,  0.3795712    ,
           2006,            308, -0.6000000E-02,  0.3652743    ,
           2006,            309, -0.6000000E-02,  0.3516069    ,
           2006,            310, -0.6000000E-02,  0.3385265    ,
           2006,            311, -0.6000000E-02,  0.3260356    ,
           2006,            312, -0.7000000E-02,  0.3141409    ,
           2006,            313, -0.7000000E-02,  0.3028375    ,
           2006,            314, -0.8000000E-02,  0.2921270    ,
           2006,            315, -0.8000000E-02,  0.2820177    ,
           2006,            316, -0.8000000E-02,  0.2725089    ,
           2006,            317, -0.9000000E-02,  0.2636129    ,
           2006,            318, -0.1000000E-01,  0.2553672    ,
           2006,            319, -0.1100000E-01,  0.2478055    ,
           2006,            320, -0.1300000E-01,  0.2408807    ,
